tx_id	gene_id	gene_name	estimate	padj
ENSMUST00000020248.16	ENSMUSG00000020056.17	Washc3	-0.2647158522549933	0.044963357396544314
ENSMUST00000182183.8	ENSMUSG00000020056.17	Washc3	9.190591132286231	0.08673757636421714
ENSMUST00000020397.11	ENSMUSG00000020180.11	Snrpd3	-0.05241036962608755	0.02342004555943689
ENSMUST00000191097.2	ENSMUSG00000020180.11	Snrpd3	3.1692504246940025	0.34683459823872226
ENSMUST00000021347.12	ENSMUSG00000020964.15	Sel1l	-3.2853519254792336	0.0017193449317794976
ENSMUST00000178462.8	ENSMUSG00000020964.15	Sel1l	2.993838276569464	0.0017193449317794976
ENSMUST00000065504.17	ENSMUSG00000021814.18	Anxa7	-3.3489400257093918	4.736254203510072e-4
ENSMUST00000100844.6	ENSMUSG00000021814.18	Anxa7	3.0240598857622607	0.018472554078266316
ENSMUST00000224975.2	ENSMUSG00000021814.18	Anxa7	7.1106831335345	1
ENSMUST00000226001.2	ENSMUSG00000021814.18	Anxa7	-3.511853155046318	1
ENSMUST00000027877.7	ENSMUSG00000026585.14	Kifap3	-1.7070771859956106	0.08819639911678721
ENSMUST00000077642.12	ENSMUSG00000026585.14	Kifap3	1.0438853580951457	0.010395184684240402
ENSMUST00000034281.13	ENSMUSG00000031824.16	6430548M08Rik	4.1422956080474185	9.950410257349939e-4
ENSMUST00000108951.8	ENSMUSG00000031824.16	6430548M08Rik	-3.4275926040413403	3.410005627106369e-4
ENSMUST00000212268.2	ENSMUSG00000031824.16	6430548M08Rik	-2.9552131819392176	1
ENSMUST00000166232.4	ENSMUSG00000031955.11	Bcar1	-3.477749241276865	0.025976163941104996
ENSMUST00000212349.2	ENSMUSG00000031955.11	Bcar1	3.8565912575090326	0.02700940514433338
ENSMUST00000030254.15	ENSMUSG00000035212.15	Leprot	-2.405393583622286	0.018472554078266316
ENSMUST00000106927.2	ENSMUSG00000035212.15	Leprot	9.130546031439705	0.018472554078266316
ENSMUST00000028220.10	ENSMUSG00000035949.16	Fbxw2	-2.9028935377073664	0.3151311909952268
ENSMUST00000113078.8	ENSMUSG00000035949.16	Fbxw2	3.339980224904238	0.04279142928736781
ENSMUST00000113080.9	ENSMUSG00000035949.16	Fbxw2	-5.964024612265343	1
ENSMUST00000131534.8	ENSMUSG00000035949.16	Fbxw2	0.3954530677607705	1
ENSMUST00000156130.2	ENSMUSG00000035949.16	Fbxw2	0.7822509978594383	1
ENSMUST00000046371.13	ENSMUSG00000040563.14	Plppr2	-0.6940103292866237	7.301077998566399e-4
ENSMUST00000190387.7	ENSMUSG00000040563.14	Plppr2	6.3367147451970744	0.006078233743132377
ENSMUST00000012612.11	ENSMUSG00000041164.16	Zmiz2	-3.209763811174845	0.008121717884457036
ENSMUST00000102914.10	ENSMUSG00000041164.16	Zmiz2	0.684080774624406	1
ENSMUST00000109785.2	ENSMUSG00000041164.16	Zmiz2	-0.6191029729922538	1
ENSMUST00000109786.8	ENSMUSG00000041164.16	Zmiz2	-2.0522794899066827	1
ENSMUST00000109787.8	ENSMUSG00000041164.16	Zmiz2	4.6608336543514595	0.04284632447087677
ENSMUST00000077128.13	ENSMUSG00000041225.17	Arhgap12	-8.096839396766285	1
ENSMUST00000182038.2	ENSMUSG00000041225.17	Arhgap12	-5.5025565826333445	1
ENSMUST00000182066.8	ENSMUSG00000041225.17	Arhgap12	2.7724915526970553	0.035517571734601405
ENSMUST00000182213.8	ENSMUSG00000041225.17	Arhgap12	-3.7524591441682635	1
ENSMUST00000182559.8	ENSMUSG00000041225.17	Arhgap12	-1.7456976580969537	1
ENSMUST00000086693.12	ENSMUSG00000052105.18	Mtcl1	2.8852362286915727	0.013967131875976002
ENSMUST00000097291.10	ENSMUSG00000052105.18	Mtcl1	-2.973204282907383	0.009701212578721636
ENSMUST00000134139.8	ENSMUSG00000052105.18	Mtcl1	2.4926042053959185	1
ENSMUST00000047321.9	ENSMUSG00000055116.9	Bmal1	-1.56845329347391	0.04279142928736781
ENSMUST00000210074.2	ENSMUSG00000055116.9	Bmal1	3.1471410833446516	0.14453992305672328
ENSMUST00000210238.2	ENSMUSG00000055116.9	Bmal1	2.3154910224716354	0.8019663473929202
ENSMUST00000211770.2	ENSMUSG00000055116.9	Bmal1	-1.1549680854347248	1
ENSMUST00000072580.12	ENSMUSG00000062044.17	Lmtk3	0.4863586911312544	1
ENSMUST00000120005.10	ENSMUSG00000062044.17	Lmtk3	3.3153421803422205	0.04279142928736781
ENSMUST00000209617.2	ENSMUSG00000062044.17	Lmtk3	-1.5894376707350273	0.17169806764899875
ENSMUST00000233503.2	ENSMUSG00000062044.17	Lmtk3	0.7786865713201087	1
ENSMUST00000093209.4	ENSMUSG00000069919.8	Hba-a1	0.37702258602893723	0.0017193449317794976
ENSMUST00000142555.2	ENSMUSG00000069919.8	Hba-a1	2.1422164192430846	0.5194827124613101
